53	 Judge, A	NYY	RF	52	185	44	60	8	2	18	41	32	64	5	2	.324	.429	.681	1.110
54	 Harper, B	WSH	RF	48	176	46	57	12	0	15	43	36	42	1	2	.324	.441	.648	1.089
55	 Gamel, B	SEA	RF	35	130	21	42	7	2	2	16	17	40	0	0	.323	.400	.454	.854
56	 Kendrick, H	PHI	LF	16	62	8	20	5	1	1	7	5	17	2	2	.323	.373	.484	.857
57	 Adrianza, E	MIN	SS	14	28	4	9	2	0	0	4	3	4	1	1	.321	.364	.393	.756
58	 Hicks, A	NYY	LF	44	137	30	44	11	0	8	31	28	28	7	3	.321	.432	.577	1.009
59	 Cordero, F	SD	CF	8	25	5	8	1	1	0	1	2	12	1	1	.320	.370	.440	.810
59	 DeGrom, J	NYM	P	12	25	2	8	1	0	0	2	0	7	0	0	.320	.320	.360	.680
61	 Adduci, J	DET	RF	13	44	8	14	4	2	0	7	5	11	1	0	.318	.388	.500	.888
62	 Taylor, C	LAD	2B	42	129	26	41	8	0	7	23	21	41	3	2	.318	.413	.543	.956
63	 Avila, A	DET	C	37	104	16	33	8	0	8	23	21	37	0	0	.317	.432	.625	1.057
64	 Castillo, W	BAL	C	29	120	15	38	6	0	4	17	4	29	0	0	.317	.339	.467	.805
65	 Castro, S	NYY	2B	54	219	38	69	11	0	9	31	12	42	0	0	.315	.352	.489	.841
66	 Gonzalez, M	HOU	1B	48	140	26	44	9	0	12	34	20	31	3	2	.314	.409	.636	1.044
67	 Flores, W	NYM	3B	39	115	15	36	6	0	5	16	4	17	1	0	.313	.336	.496	.832
68	 Hicks, J	DET	C	13	48	10	15	4	0	3	12	1	11	1	0	.313	.327	.583	.910
68	 Presley, A	DET	OF	6	16	6	5	1	0	1	4	2	2	2	0	.313	.389	.563	.951
70	 Gyorko, J	STL	3B	46	167	22	52	10	2	8	22	12	42	3	0	.311	.359	.539	.898
71	 Correa, C	HOU	SS	52	203	38	63	12	0	11	39	25	46	0	0	.310	.388	.532	.920
72	 Brantley, M	CLE	LF	47	181	22	56	10	0	5	24	18	31	7	1	.309	.375	.448	.823
73	 Hosmer, E	KC	1B	56	214	27	66	12	1	5	21	18	36	3	0	.308	.361	.444	.804
74	 Frazier, A	PIT	2B	37	133	20	41	5	1	3	20	14	18	2	4	.308	.380	.429	.809
75	 Parra, G	COL	LF	48	146	22	45	6	0	6	28	6	27	0	3	.308	.340	.473	.812
76	 Conforto, M	NYM	LF	51	172	38	53	11	1	14	36	28	49	1	0	.308	.410	.628	1.038
77	 Gregorius, D	NYY	SS	33	130	18	40	7	0	4	20	5	19	1	1	.308	.333	.454	.787
77	 Harrison, J	PIT	2B	55	208	24	64	10	1	7	18	12	36	5	3	.308	.371	.466	.837
77	 Hazelbaker, J	ARI	CF	21	26	4	8	1	1	1	5	3	8	0	0	.308	.379	.538	.918
80	 Goldschmidt, P	ARI	1B	59	209	48	64	14	1	13	45	41	45	12	3	.306	.429	.569	.999
81	 Montero, M	CHC	C	31	72	11	22	2	0	3	7	6	19	1	0	.306	.354	.458	.813
81	 Peralta, D	ARI	RF	50	180	29	55	11	1	4	12	12	30	4	1	.306	.354	.444	.798
83	 Andrus, E	TEX	SS	56	223	34	68	15	1	7	32	15	38	14	4	.305	.350	.475	.825
84	 LaStella, T	CHC	3B	16	23	3	7	2	0	1	2	8	2	0	0	.304	.484	.522	1.006
84	 Ray, R	ARI	P	11	23	2	7	1	0	0	0	0	8	0	0	.304	.304	.348	.652
86	 Inciarte, E	ATL	CF	55	237	37	72	10	1	6	24	20	36	10	4	.304	.357	.430	.787
87	 Sano, M	MIN	3B	50	178	36	54	8	2	14	43	32	78	0	0	.303	.410	.607	1.016
88	 DArnaud, C	SD	3B	23	33	10	10	2	0	0	2	3	12	3	0	.303	.361	.364	.725
89	 Wolters, T	COL	C	35	103	22	31	5	1	0	8	16	22	0	1	.301	.405	.369	.774
90	 Sanchez, Y	CWS	2B	43	143	20	43	7	3	2	15	12	31	3	5	.301	.353	.434	.786
91	 Chacin, J	SD	P	13	20	0	6	0	0	0	2	0	5	0	0	.300	.300	.300	.600
91	 Diaz, E	PIT	C	8	20	2	6	2	0	1	6	3	4	0	0	.300	.391	.550	.941
93	 Pollock, A	ARI	CF	37	154	26	46	12	3	2	11	9	29	11	2	.299	.337	.455	.792
94	 Cruz, N	SEA	DH	56	195	28	58	10	0	14	45	26	43	1	0	.297	.379	.564	.943
